CODOP	Operandos	Addr. Mode	Source Form	Bytes por calcular	Total de Bytes
ABA	-	INH	18 06	0	2
ABX	-	IDX	1A E5	0	2
ABY	-	IDX	19 ED	0	2
ADCA	#opr8i	IMM	89 ii	1	2
ADCA	opr8a	DIR	99 dd	1	2
ADCA	opr16a	EXT	B9 hh ll	2	3
ADCA	oprx0_xysp	IDX	A9 xb	1	2
ADCA	"oprx9,xysp"	IDX1	A9 xb ff	2	3
ADCA	"oprx9,xysp"	IDX2	A9 xb ee ff	3	4
ADCA	"[D,xysp]"	"[D,IDX]"	A xb	1	2
ADCA	"[oprx16,xysp]"	[IDX2]	A9 xb ee ff	3	4
ADCB	 #opr8i	IMM	C9 ii	1	2
ADCB	 opr8a	DIR	D9 dd	1	2
ADCB	 opr16a	EXT	F9 hh ll	2	3
ADCB	 oprx0_xysp	IDX	E9 xb	1	2
ADCB	" oprx9,xysp"	IDX1	E9 xb ff	2	3
ADCB	" oprx16,xysp"	IDX2	E9 xb ee ff	3	4
ADCB	" [D,xysp]"	"[D,IDX]"	E9 xb	1	2
ADCB	" [oprx16,xysp]"	[IDX2]	E9 xb ee ff	3	4
ADDA	 #opr8i	IMM	8B ii	1	2
ADDA	 opr8i	DIR	DB dd	1	2
ADDA	 opr16a	EXT	FB hh ll	2	3
ADDA	 oprx0_xysp	IDX	EB xb	1	2
ADDA	"oprx9,xysp"	IDX1	EB xb ff	2	3
ADDA	" oprx16,xysp"	IDX2	EB xb ee ff	3	4
ADDA	" [D,xysp]"	"[D,IDX]"	EB xb	1	2
ADDA	"[oprx16,xysp]"	[IDX2]	EB xb ee ff	3	4
ADDB	 #opr8i	IMM	CB ii	1	2
ADDB	opr8a	DIR	DB dd	1	2
ADDB	 opr16a	EXT	FB hh ll	2	3
ADDB	 oprx0_xysp	IDX	EB xb	1	2
ADDB	"oprx9,xysp"	IDX1	EB xb ff	2	3
ADDB	"oprx16,xysp"	IDX2	EB xb ee ff	3	4
ADDB	" [D,xysp]"	"[D,IDX]"	EB xb	1	2
ADDB	" [oprx16,xysp]"	[IDX2]	EB xb ee ff	3	4
ADDD	#opr16i	IMM	C3 jj kk	2	3
ADDD	opr8a	DIR	D3 dd	1	2
ADDD	opr16a	EXT	F3 hh ll	2	3
ADDD	oprx0_xysp	IDX	E3 xb	1	2
ADDD	"oprx9,xysp"	IDX1	E3 xb ff	2	3
ADDD	"oprx16,xysp"	IDX2	E3 xb ee ff	3	4
ADDD	"[D,xysp]"	"[D,IDX]"	E3 xb	1	2
ADDD	"[oprx16,xysp]"	[IDX2]	E3 xb ee ff	3	4
ANDA	#opr8i	IMM	84 ii	1	2
ANDA	opr8a	DIR	94 dd	1	2
ANDA	opr16a	EXT	B4 hh ll	2	3
ANDA	oprx0_xysp	IDX	A4 xb	1	2
ANDA	"oprx9,xysp"	IDX1	A4 xb ff	2	3
